nazev_obce,kod_obce,latitude,longitude,vymera,pocet_obyvatel,pocet_nakazenych,datum
Praha,554782,50.075638,14.4379,496.206999,1335084,0,0
Benešov,529303,49.783882,14.68747,46.870099,16804,0,0
Bernartice,532568,49.675666,15.129249,10.109743,229,0,0
Bílkovice,530743,49.759822,14.861056,5.776031000000001,217,0,0
Blažejovice,532380,49.619897,15.200036,4.630034,103,0,0
Borovnice,532096,49.648835,15.018438,3.096757,83,0,0
Bukovany,532924,49.822898,14.624388,7.405028,760,0,0
Bystřice,529451,49.732235,14.667506,63.359210000000004,4444,0,0
Ctiboř,532690,49.736767,14.904302,3.92366,152,0,0
Čakov,529478,49.825696,14.836436,5.289578000000001,129,0,0
Čechtice,529486,49.624128,15.048346,39.413394,1384,0,0
Čerčany,529516,49.853032,14.703093,6.447914,2902,0,0
Červený Újezd,529532,49.555506,14.604165,12.587259,349,0,0
Český Šternberk,529541,49.810991,14.928256,5.46522,175,0,0
Čtyřkoly,529567,49.868613,14.719742,2.882438,719,0,0
Děkanovice,532746,49.618789,15.148645,4.0769150000000005,60,0,0
Divišov,529621,49.788592,14.875895,30.990462,1762,0,0
Dolní Kralovice,529648,49.644223,15.177648,17.224118,890,0,0
Drahňovice,532151,49.822575,14.90175,8.171861999999999,107,0,0
Dunice,532843,49.603247,15.152746,3.57545,68,0,0
Heřmaničky,529702,49.605411,14.582592,17.400477000000002,717,0,0
Hradiště,532932,49.684271,14.848805,2.505381,28,0,0
Hulice,529737,49.709703,15.087693,6.480141,287,0,0
Hvězdonice,529745,49.872921,14.777379,1.40328,336,0,0
Chářovice,532886,49.820354,14.577967,4.168869,217,0,0
Chleby,532878,49.827106,14.556986,2.342791,46,0,0
Chlístov,532045,49.801625,14.654822,2.8884109999999996,401,0,0
Chlum,529770,49.693104,14.99586,4.193725,124,0,0
Chmelná,529788,49.648205,14.988457,2.3973679999999997,148,0,0
Chocerady,529796,49.873005,14.802174,17.843668,1265,0,0
Choratice,532606,49.83943,14.874791,4.451067,70,0,0
Chotýšany,529818,49.744203,14.814683,13.966434,596,0,0
Chrášťany,532037,49.792155,14.582032,11.540274,229,0,0
Jankov,529842,49.653039,14.730847,29.806686,914,0,0
Javorník,529851,49.686598,15.026636,7.303178,128,0,0
Ješetice,532134,49.581263,14.610228,7.2561350000000004,128,0,0
Kamberk,531031,49.597236,14.840416,11.351510000000001,143,0,0
Keblov,529907,49.677749,15.071992,7.113601999999999,184,0,0
Kladruby,533084,49.723269,14.950154,4.727321,267,0,0
Kondrac,529931,49.667248,14.884609,12.766371,522,0,0
Kozmice,529940,49.824883,14.796183,7.962256,347,0,0
Krhanice,529958,49.856112,14.557463,13.445637999999999,1059,0,0
Krňany,529974,49.844913,14.477553,12.237158999999998,467,0,0
Křečovice,529991,49.721417,14.475637,31.867899,820,0,0
Křivsoudov,530000,49.633077,15.087465,13.662972,441,0,0
Kuňovice,530026,49.658386,14.999521,3.456646,92,0,0
Lešany,530051,49.844269,14.525051,14.440166999999999,813,0,0
Libež,530069,49.757522,14.916873,7.392926,225,0,0
Litichovice,532258,49.783034,14.850678,1.9314760000000002,70,0,0
Loket,530093,49.655592,15.116995,23.87782,575,0,0
Louňovice pod Blaníkem,530107,49.637336,14.846795,17.111965,675,0,0
Lštění,532193,49.864385,14.71437,4.675296,425,0,0
Maršovice,530115,49.71367,14.564615,24.186353,755,0,0
Mezno,530158,49.534622,14.64504,15.630057999999998,368,0,0
Miličín,530166,49.570793,14.66151,25.722285000000003,826,0,0
Miřetice,530174,49.659049,14.976635,2.447493,201,0,0
Mnichovice,530191,49.668707,15.039688,9.211408,214,0,0
Mrač,530204,49.829754,14.690616,6.14878,849,0,0
Načeradec,530212,49.610286,14.906434,48.452225,1070,0,0
Nespeky,530263,49.859411,14.659464,4.961899,769,0,0
Netvořice,530298,49.815795,14.518381,17.880567,1169,0,0
Neustupov,530301,49.615106,14.698704,28.6923,556,0,0
Neveklov,530310,49.753835,14.533011,54.460505999999995,2676,0,0
Olbramovice,530344,49.67328,14.640953,25.371335,1312,0,0
Ostrov,599395,49.665402,14.851197,3.3569060000000004,57,0,0
Ostředek,530352,49.834893,14.8324,12.967627,403,0,0
Pavlovice,533076,49.715216,14.933216,3.916533,253,0,0
Petroupim,530409,49.808356,14.752698,9.512353000000001,312,0,0
Popovice,532649,49.695492,14.75256,11.722294,278,0,0
Poříčí nad Sázavou,530441,49.839058,14.674564,9.267563,1410,0,0
Postupice,530450,49.728144,14.777499,40.00544,1387,0,0
Pravonín,530476,49.635687,14.943477,19.794342999999998,562,0,0
Přestavlky u Čerčan,530492,49.8531,14.74423,6.482606,399,0,0
Psáře,530514,49.755783,14.96193,8.302559,129,0,0
Pyšely,538680,49.876884,14.677239,12.810348,2086,0,0
Rabyně,530522,49.81429,14.436202,15.894739999999999,269,0,0
Radošovice,530531,49.741095,14.867658,8.025046,397,0,0
Rataje,530549,49.704164,14.97055,4.4874410000000005,161,0,0
Ratměřice,532550,49.643355,14.756277,9.542546999999999,301,0,0
Řehenice,538710,49.869849,14.650331,11.041694,452,0,0
Řimovice,532941,49.696448,14.943106,3.307858,234,0,0
Sázava,534382,49.871745,14.896842,20.418339,3748,0,0
Slověnice,532231,49.757388,14.885194,2.952608,36,0,0
Smilkov,530611,49.602598,14.617508,11.205772999999999,267,0,0
Snět,532436,49.626545,15.226922,6.026846000000001,107,0,0
Soběhrdy,530638,49.821122,14.734312,10.11894,426,0,0
Soutice,599387,49.726208,15.053023,10.877049,242,0,0
Stranný,599379,49.753854,14.494082,5.507462,118,0,0
Strojetice,599361,49.651638,15.066126,5.0156279999999995,133,0,0
