nazev_obce,kod_obce,latitude,longitude,pocet_obyvatel,datum
Praha,554782,50.075638,14.4379,1335084,0
Benešov,529303,49.783882,14.68747,16804,0
Bernartice,532568,49.675666,15.129249,229,0
Bílkovice,530743,49.759822,14.861056,217,0
Blažejovice,532380,49.619897,15.200036,103,0
Borovnice,532096,49.648835,15.018438,83,0
Bukovany,532924,49.822898,14.624388,760,0
Bystřice,529451,49.732235,14.667506,4444,0
Ctiboř,532690,49.736767,14.904302,152,0
Čakov,529478,49.825696,14.836436,129,0
Čechtice,529486,49.624128,15.048346,1384,0
Čerčany,529516,49.853032,14.703093,2902,0
Červený Újezd,529532,49.555506,14.604165,349,0
Český Šternberk,529541,49.810991,14.928256,175,0
Čtyřkoly,529567,49.868613,14.719742,719,0
Děkanovice,532746,49.618789,15.148645,60,0
Divišov,529621,49.788592,14.875895,1762,0
Dolní Kralovice,529648,49.644223,15.177648,890,0
Drahňovice,532151,49.822575,14.90175,107,0
Dunice,532843,49.603247,15.152746,68,0
Heřmaničky,529702,49.605411,14.582592,717,0
Hradiště,532932,49.684271,14.848805,28,0
Hulice,529737,49.709703,15.087693,287,0
Hvězdonice,529745,49.872921,14.777379,336,0
Chářovice,532886,49.820354,14.577967,217,0
Chleby,532878,49.827106,14.556986,46,0
Chlístov,532045,49.801625,14.654822,401,0
Chlum,529770,49.693104,14.99586,124,0
Chmelná,529788,49.648205,14.988457,148,0
Chocerady,529796,49.873005,14.802174,1265,0
Choratice,532606,49.83943,14.874791,70,0
Chotýšany,529818,49.744203,14.814683,596,0
Chrášťany,532037,49.792155,14.582032,229,0
Jankov,529842,49.653039,14.730847,914,0
Javorník,529851,49.686598,15.026636,128,0
Ješetice,532134,49.581263,14.610228,128,0
Kamberk,531031,49.597236,14.840416,143,0
Keblov,529907,49.677749,15.071992,184,0
Kladruby,533084,49.723269,14.950154,267,0
Kondrac,529931,49.667248,14.884609,522,0
Kozmice,529940,49.824883,14.796183,347,0
Krhanice,529958,49.856112,14.557463,1059,0
Krňany,529974,49.844913,14.477553,467,0
Křečovice,529991,49.721417,14.475637,820,0
Křivsoudov,530000,49.633077,15.087465,441,0
Kuňovice,530026,49.658386,14.999521,92,0
Lešany,530051,49.844269,14.525051,813,0
Libež,530069,49.757522,14.916873,225,0
Litichovice,532258,49.783034,14.850678,70,0
Loket,530093,49.655592,15.116995,575,0
Louňovice pod Blaníkem,530107,49.637336,14.846795,675,0
Lštění,532193,49.864385,14.71437,425,0
Maršovice,530115,49.71367,14.564615,755,0
Mezno,530158,49.534622,14.64504,368,0
Miličín,530166,49.570793,14.66151,826,0
Miřetice,530174,49.659049,14.976635,201,0
Mnichovice,530191,49.668707,15.039688,214,0
Mrač,530204,49.829754,14.690616,849,0
Načeradec,530212,49.610286,14.906434,1070,0
Nespeky,530263,49.859411,14.659464,769,0
Netvořice,530298,49.815795,14.518381,1169,0
Neustupov,530301,49.615106,14.698704,556,0
Neveklov,530310,49.753835,14.533011,2676,0
Olbramovice,530344,49.67328,14.640953,1312,0
Ostrov,599395,49.665402,14.851197,57,0
Ostředek,530352,49.834893,14.8324,403,0
Pavlovice,533076,49.715216,14.933216,253,0
Petroupim,530409,49.808356,14.752698,312,0
Popovice,532649,49.695492,14.75256,278,0
Poříčí nad Sázavou,530441,49.839058,14.674564,1410,0
Postupice,530450,49.728144,14.777499,1387,0
Pravonín,530476,49.635687,14.943477,562,0
Přestavlky u Čerčan,530492,49.8531,14.74423,399,0
Psáře,530514,49.755783,14.96193,129,0
Pyšely,538680,49.876884,14.677239,2086,0
Rabyně,530522,49.81429,14.436202,269,0
Radošovice,530531,49.741095,14.867658,397,0
Rataje,530549,49.704164,14.97055,161,0
Ratměřice,532550,49.643355,14.756277,301,0
Řehenice,538710,49.869849,14.650331,452,0
Řimovice,532941,49.696448,14.943106,234,0
Sázava,534382,49.871745,14.896842,3748,0
Slověnice,532231,49.757388,14.885194,36,0
Smilkov,530611,49.602598,14.617508,267,0
Snět,532436,49.626545,15.226922,107,0
Soběhrdy,530638,49.821122,14.734312,426,0
Soutice,599387,49.726208,15.053023,242,0
Stranný,599379,49.753854,14.494082,118,0
Strojetice,599361,49.651638,15.066126,133,0
Struhařov,530689,49.765636,14.762317,927,0
Střezimíř,530701,49.532109,14.611434,325,0
Studený,530719,49.607512,15.127817,99,0
Šetějovice,532509,49.645276,15.222583,61,0
Tehov,530751,49.735542,14.966838,348,0
Teplýšovice,530760,49.806208,14.801688,526,0
Tichonice,530778,49.777164,14.992382,207,0
Tisem,532592,49.755736,14.608061,228,0
Tomice,532541,49.645143,15.157197,135,0
Trhový Štěpánov,530816,49.711576,15.013668,1416,0
Třebešice,532304,49.775348,14.831949,99,0
Týnec nad Sázavou,530841,49.833579,14.58994,5699,0
Václavice,532061,49.789406,14.61365,617,0
Veliš,530867,49.668658,14.823244,343,0
Vlašim,530883,49.706428,14.89891,11496,0
Vodslivy,532614,49.84965,14.837298,99,0
Vojkov,530891,49.65232,14.519906,467,0
Votice,530905,49.64023,14.63819,4547,0
Vracovice,530913,49.662562,14.932317,396,0
Vranov,530921,49.853416,14.777021,422,0
Vrchotovy Janovice,530948,49.666919,14.577909,1011,0
Všechlapy,532266,49.779125,14.914341,102,0
Vysoký Újezd,513482,49.813385,14.476422,194,0
Xaverov,571415,49.842785,14.884454,55,0
Zdislavice,531022,49.686587,14.974594,523,0
Zvěstov,531049,49.632768,14.792228,372,0
Bavoryně,534421,49.895907,13.961126,367,0
Beroun,531057,49.967305,14.086384,19988,0
Běštín,531073,49.807406,14.01634,326,0
Broumy,531081,49.955171,13.852368,976,0
Březová,531090,49.904184,13.883116,325,0
Bubovice,531103,49.969761,14.166601,575,0
Bykoš,534145,49.883057,14.063765,235,0
Bzová,531120,49.897991,13.862507,455,0
Cerhovice,531138,49.849643,13.834934,1159,0
Drozdov,531154,49.863241,13.840685,780,0
Felbabka,531162,49.813487,13.942011,290,0
Hlásná Třebaň,531171,49.922344,14.198762,1134,0
Hořovice,531189,49.836078,13.902789,6939,0
Hostomice,531201,49.825363,14.045712,1822,0
Hředle,531219,49.903899,13.920708,390,0
Hudlice,531227,49.961069,13.970742,1238,0
Hvozdec,531235,49.807152,13.880406,254,0
Hýskov,531243,49.990829,14.050654,2022,0
Chaloupky,531251,49.791959,13.868465,500,0
Chlustina,534455,49.878043,13.919627,247,0
Chodouň,534447,49.898288,13.986668,702,0
Chrustenice,533670,50.006145,14.152325,1003,0
Chyňava,531294,50.027467,14.074092,1841,0
Jivina,531308,49.794246,13.836497,197,0
Karlštejn,531316,49.939604,14.188146,865,0
Komárov,531324,49.806602,13.856467,2418,0
Koněprusy,531332,49.920996,14.065859,249,0
Korno,533793,49.920584,14.136968,125,0
Kotopeky,534072,49.856839,13.925264,306,0
Králův Dvůr,533203,49.949911,14.034561,9940,0
Kublov,531375,49.943803,13.876779,673,0
Lážovice,533939,49.85831,14.071383,113,0
Lhotka,533335,49.83232,13.996335,354,0
Libomyšl,531448,49.872637,13.998731,593,0
Liteň,531456,49.903811,14.149092,1229,0
Loděnice,531464,49.994962,14.157959,1970,0
Lochovice,531472,49.853286,13.981372,1328,0
Lužce,534404,49.98422,14.196827,123,0
Malá Víska,533319,49.776121,13.875624,105,0
Málkov,534218,49.888313,14.023652,108,0
Měňany,531529,49.910104,14.117791,308,0
Mezouň,531537,50.004378,14.214277,569,0
Mořina,531545,49.95294,14.20874,838,0
Mořinka,533912,49.939081,14.237277,178,0
Nenačovice,533602,50.019222,14.139071,278,0
Nesvačily,534269,49.881363,14.124461,175,0
