Kód obce,Kód okresu,Latitude,Longitude
554979,CZ0412,50.368855,12.818377
535826,CZ0311,49.000624,14.539603
581291,CZ0641,49.295708,16.663955
531367,CZ0205,49.857917,15.409018
547786,CZ0523,50.624387,16.083501
598925,CZ0803,49.786552,18.524545
547981,CZ0534,49.927643,16.644801
576077,CZ0524,50.139886,16.064472
549258,CZ0314,49.253337,14.302929
563528,CZ0512,50.762400,15.275813
568741,CZ0804,49.701790,18.095627
506761,CZ0713,49.423541,17.041589
538001,CZ0412,50.204490,12.962918
551929,CZ0801,50.060911,17.389192
573426,CZ0534,49.849856,16.540330
586030,CZ0645,49.043689,17.004911
509388,CZ0633,49.531610,15.117873
586854,CZ0632,49.436298,15.823702
562343,CZ0421,50.837124,14.264055
554499,CZ0411,50.223983,12.195113
537241,CZ0315,49.024865,14.237677
590274,CZ0634,49.135413,15.770586
569828,CZ0521,50.192196,15.585617
552356,CZ0712,49.737929,17.260966
538043,CZ0209,50.008089,14.715907
592013,CZ0722,49.123859,17.476827
582794,CZ0643,49.283402,16.696235
582808,CZ0643,49.173078,16.358273
553433,CZ0321,49.398761,12.862893
561118,CZ0633,49.455771,15.158118
553701,CZ0522,50.385047,15.153530
576085,CZ0524,50.299877,16.233416
590282,CZ0634,49.081736,16.027802
546194,CZ0631,49.735384,15.462118
544833,CZ0634,48.965699,15.589000
535427,CZ0207,50.482406,14.941596
595217,CZ0635,49.332666,15.952501
563251,CZ0317,49.452124,14.608319
572560,CZ0533,49.665712,16.462030
592021,CZ0722,48.988113,17.717631
562726,CZ0313,49.011855,15.490340
593729,CZ0647,48.883187,16.182493
569836,CZ0521,50.197698,15.567740
574724,CZ0532,49.999411,15.680910
533173,CZ0204,49.944355,14.969206
599212,CZ0804,49.668940,18.054715
576093,CZ0524,50.164080,16.547862
548260,CZ0631,49.601128,15.618547
588300,CZ0721,49.245527,17.426201
598011,CZ0802,49.645943,18.372443
572667,CZ0522,50.334576,15.605129
538051,CZ0209,50.205242,14.477405
586862,CZ0632,49.290179,15.410734
579041,CZ0525,50.517692,16.036740
550809,CZ0316,49.121951,14.079028
584304,CZ0644,48.834789,16.622349
534421,CZ0202,49.895907,13.961126
566756,CZ0325,49.769640,13.235291
565423,CZ020C,50.214245,13.858851
536156,CZ0311,49.215784,14.501318
563366,CZ0317,49.381437,14.539787
567043,CZ0425,50.449824,13.717955
554995,CZ0412,50.083561,12.838429
533181,CZ0204,49.956809,15.079916
589268,CZ0713,49.448359,17.166534
562548,CZ0313,49.195339,15.093296
561053,CZ0313,49.210179,15.144034
581313,CZ0641,49.461276,16.465422
563536,CZ0512,50.791188,15.142571
541842,CZ0322,49.344879,13.160291
593737,CZ0647,49.004036,16.078723
572675,CZ0522,50.314130,15.292617
564575,CZ0423,50.416252,14.341026
552054,CZ0317,49.295336,14.468202
573566,CZ0631,49.754546,15.240686
561126,CZ0633,49.312617,15.260715
576972,CZ0514,50.534417,15.445427
512974,CZ0805,49.972429,18.144995
553441,CZ0321,49.591261,12.717718
572586,CZ0533,49.640287,16.482734
535443,CZ0207,50.501314,14.804290
523917,CZ0711,50.164036,17.196677
505391,CZ0533,49.639593,16.646009
550817,CZ0316,49.502517,13.875856
560448,CZ0317,49.543779,14.837357
581321,CZ0643,49.434036,16.383235
535010,CZ0203,50.056269,13.993082
569852,CZ0521,50.198081,15.942805
500526,CZ0712,49.668757,17.317289
532070,CZ0203,50.131539,14.220862
512231,CZ0714,49.591300,17.806648
588318,CZ0724,49.216090,17.484879
533190,CZ0204,50.069172,15.322001
567051,CZ0425,50.449262,13.762928
569861,CZ0521,50.310292,15.736096
577774,CZ0533,49.854287,16.326847
535451,CZ0207,50.289261,14.824612
576981,CZ0514,50.666433,15.548272
581330,CZ0641,49.509531,16.770698
529303,CZ0201,49.783882,14.687470
545406,CZ0312,48.729507,14.627471
562351,CZ0421,50.741692,14.312500
576999,CZ0514,50.603258,15.368478
560723,CZ0327,49.726964,12.901799
590304,CZ0634,49.297738,15.867436
512281,CZ0714,49.417460,17.501452
531111,CZ0205,50.014231,15.398668
549266,CZ0314,49.368999,14.381118
579050,CZ0525,50.644783,15.965926
524891,CZ0711,50.389907,17.078379
532568,CZ0201,49.675666,15.129249
568481,CZ0804,49.610207,17.947885
531057,CZ0202,49.967305,14.086384
537021,CZ0208,50.185843,15.333694
532088,CZ0203,50.269119,14.123660
545414,CZ0312,48.790089,14.556987
553760,CZ0534,50.020237,16.211026
571181,CZ0531,49.837134,15.595868
555797,CZ0322,49.301709,13.312677
531073,CZ0202,49.807406,14.016340
574309,CZ0533,49.692503,16.763539
598895,CZ0316,49.444294,13.880068
548430,CZ0631,49.732931,15.730501
574741,CZ0532,50.008869,15.644768
555801,CZ0322,49.379500,13.297971
541095,CZ0326,49.824389,13.596645
573884,CZ0523,50.509838,16.229341
529672,CZ020B,49.577203,13.878564
561398,CZ0511,50.533742,14.722084
560740,CZ0327,49.906771,12.971351
