kod_obce,vymera_ha
554782,49620.6999
529303,4687.0099
532924,740.5028
529451,6335.921
529478,528.9578
529516,644.7914
529541,546.522
529567,288.2438
529621,3099.0462
532151,817.1862
529745,140.328
532886,416.8869
532878,234.2791
532045,288.8411
529796,1784.3668
532606,445.1067
529818,1396.6434
532037,1154.0274
529940,796.2256
529958,1344.5638
529974,1223.7159
529991,3186.7899
530051,1444.0167
532258,193.1476
532193,467.5296
530115,2418.6353
530204,614.878
530263,496.1899
530298,1788.0567
530310,5446.0506
530352,1296.7627
530409,951.2353
532649,1172.2294
530441,926.7563
530450,4000.544
530492,648.2606
538680,1281.0348
530522,1589.474
538710,1104.1694
534382,2041.8339
530638,1011.894
599379,550.7462
530689,2196.4803
530760,1056.9145
532592,346.2463
532304,417.609
530841,2574.6191
532061,824.6672
532614,471.3205
530921,949.0249
513482,406.7464
571415,216.8043
534421,222.4316
531057,3125.1275
531081,2858.484
531103,409.7042
534145,407.1305
531171,407.8354
531227,2075.2056
531243,640.397
534447,424.8605
533670,672.5546
531294,3793.9237
531316,1208.0972
531332,604.1305
533793,517.8584
533203,1523.8558
531375,627.7238
531456,1276.6776
531464,608.4236
534404,301.4648
534218,340.0582
531529,815.6539
531537,305.7862
531545,982.985
533912,701.9659
533602,398.3935
534269,273.9495
531596,2801.4101
531600,497.0586
531669,426.5074
534285,377.811
531740,867.9705
531758,656.45
531766,232.6984
531782,726.0805
531791,549.7636
531804,405.8875
531812,747.4009
531839,1028.9756
531855,1009.0954
533106,372.2787
531880,184.6419
534234,494.9945
531944,631.8487
531952,736.8434
531961,1155.5784
531979,357.1356
532011,1380.5586
599417,401.2637
538051,780.8398
534684,299.196
538086,534.9395
538094,2265.4832
538108,547.8158
538132,1587.629
565008,357.441
538191,561.8083
534781,843.9678
565989,1471.6996
538221,705.5002
538230,213.8809
538256,296.6904
538264,508.9413
538272,826.4809
564974,893.8127
538311,1016.1198
538329,400.3748
531553,303.0043
536130,683.3228
534960,529.0141
564982,282.6681
538914,554.888
534986,796.3074
538442,598.6536
538469,309.1908
538477,442.8095
538507,931.9247
538515,489.8487
538540,983.1821
538558,195.2098
538566,314.315
538574,1123.8249
538604,579.1694
538621,329.5818
538639,386.2117
538655,407.0675
538671,415.5505
538701,478.7558
598283,187.8945
538761,444.4325
538779,456.3886
571954,1340.8574
598305,345.0294
538876,541.6463
538884,1275.7436
538957,1096.7018
538965,687.1113
538973,569.6243
538990,285.9048
539015,495.9637
539040,659.8434
505781,876.1122
535362,815.1576
539058,995.5064
539066,1074.8495
513644,112.2803
539082,309.0448
531367,275.82
533971,1529.3115
530832,125.2071
531286,826.4954
534005,2645.957
529524,195.2366
529559,901.3399
531341,282.6847
531430,694.4145
531359,235.3493
531481,848.4488
534064,585.0826
531413,792.3604
534102,700.7632
534137,1069.0063
534153,600.0367
530999,490.3301
534251,238.9335
534331,498.8039
526622,531.2441
530859,501.1715
531383,142.4674
531065,267.537
530875,409.1683
531421,329.3056
530981,720.6613
571741,342.104
534480,660.3636
534544,513.0396
534552,527.0199
534579,1413.869
531014,160.0407
534587,1849.4346
534625,2615.1755
534641,565.9377
534650,892.9164
534668,1464.4209
539104,1090.479
571199,421.4382
599735,648.335
540048,684.6986
539121,318.6387
539139,905.8929
532215,533.9713
539147,651.7792
539155,1200.197
539163,747.3943
539171,596.6887
539180,349.1563
539198,1092.1545
539210,1063.4196
531146,476.9406
539228,796.4216
539236,805.0578
539244,1447.422
539252,1188.4156
539261,471.4009
539287,370.0819
539295,415.2004
539309,499.8242
513431,420.2163
539317,734.1595
539325,1754.2057
539333,1625.429
539341,1400.5325
539350,374.6457
539368,627.389
599727,187.784
571211,517.26
539384,255.1295
539392,388.9311
571261,1089.0806
539406,323.6377
539414,710.124
539422,1362.2698
571326,517.9276
539457,739.6002
539490,133.4492
540765,2649.6942
531618,595.3905
539503,433.9767
571334,213.5171
539511,832.3414
539520,477.8213
539546,1108.3368
539562,878.1553
539571,769.1532
539597,1124.5103
532789,782.0354
571318,560.0781
539627,813.4367
531723,819.6176
539643,1014.2205
539651,393.6174
539660,2024.2945
539686,378.6536
539708,554.2127
571342,595.9681
539732,1430.3757
531821,634.4417
598313,425.5301
539759,688.506
539767,886.5113
539775,897.3652
571351,431.6891
532991,993.3805
539805,314.8324
539813,567.8192
513458,472.1728
539830,302.1737
539848,425.5432
539856,354.1235
571288,271.6396
539872,491.7463
539881,765.3526
539902,726.328
533220,910.5915
599301,388.382
533271,1970.3562
533301,918.2084
564800,424.3257
533351,1446.6681
533386,1443.8288
533459,562.8079
571717,452.3763
564702,180.4662
513288,286.3266
537705,576.1323
513369,282.6838
513393,442.8539
533611,699.4551
533661,703.1064
533734,750.3876
533777,592.8607
533785,816.5724
533866,2241.4561
564826,242.2068
539970,1901.6481
540081,619.1426
540099,681.6956
540111,5341.8442
540170,705.0835
540188,636.098
540285,850.6638
540323,2723.7671
599204,597.8518
540714,928.0057
540781,1378.8091
540811,2622.5433
540889,1102.6661
540897,839.4052
540901,2962.1618
540951,761.2579
541010,446.3346
541206,2530.5034
541257,564.9661
541338,825.8476
541389,395.1543
513539,519.799
541541,1432.4928
564338,486.6516
531073,300.6357
531090,463.4514
531120,1120.644
531138,810.0488
531154,1003.1704
531162,170.1464
531189,954.555
531201,2826.3581
531219,1235.2885
531235,445.9666
531251,657.0192
534455,558.2936
531308,453.9624
531324,615.9527
534072,393.1871
533939,488.9577
533335,534.4858
531448,969.7694
531472,1324.2609
533319,1019.1104
531588,936.7187
531626,1069.1396
531634,496.8389
531642,245.1428
534111,261.7331
531685,1673.5105
531693,509.2763
531715,592.9149
533963,305.1093
531847,409.3395
534463,538.2928
531901,1040.6497
531910,452.8998
534048,388.2075
531995,2225.0885
532002,455.8436
532029,851.4594
535010,1847.4676
532070,222.4621
532100,424.6856
532118,390.1671
532126,477.1648
532142,1562.9432
532169,760.9267
532185,248.522
532223,291.5088
513130,299.9045
532274,712.059
532282,539.2476
532312,458.2107
532347,1034.4023
532355,684.1054
532371,422.0762
532444,642.6177
532452,915.9227
532053,3696.5948
532495,523.6273
532525,479.8478
541991,3397.181
513041,1170.1502
564150,233.9894
532576,948.0602
532584,474.7926
532622,432.9686
532631,418.6457
513113,185.0452
532681,616.6148
532711,155.9981
532720,675.3095
532738,168.0686
532827,521.4598
532851,498.192
532860,953.5293
599433,421.0166
532908,192.7592
532959,384.8526
532975,427.4236
532983,1275.2952
533017,1741.7255
533025,842.0313
533033,240.8227
533050,515.5735
571598,210.5598
533092,567.5386
533149,785.7
533173,1774.4283
533181,1627.8469
533190,254.7483
533211,602.5979
533238,651.5944
533246,1064.0716
599476,245.0865
533262,1616.7784
533289,620.2572
533297,1222.7656
513181,277.5222
564681,555.5425
599450,80.1606
533327,1434.3037
534994,905.614
533343,386.3248
533360,548.2209
513415,202.1304
571687,332.7305
533165,3499.3021
533394,1081.3366
533408,1028.8622
533424,1439.999
533441,1055.4224
599484,258.3642
533467,967.6698
533475,481.7269
533483,591.9182
513270,389.0322
533505,675.1403
533513,857.3362
533521,475.9296
571636,716.6991
533530,1030.9039
533556,603.6176
533572,1037.39
513423,382.2648
537641,1076.3455
533581,1384.5912
537675,941.651
533599,242.3884
513237,526.343
513148,406.7402
533629,503.1685
533637,300.9308
533645,1285.5888
533653,477.2803
537748,473.2117
533696,616.9715
533700,878.63
533726,983.406
537888,442.5267
533742,718.1738
533751,1096.3911
533769,461.9521
533807,1568.8296
533815,909.0143
533823,528.2934
533831,1570.1733
533840,1055.824
533858,938.2597
533882,405.8107
533891,620.1787
513202,490.7727
533921,2412.3955
513261,310.5824
513164,1052.1541
538035,911.8524
533947,1860.5302
539201,549.9738
534773,458.2244
531928,478.4289
534846,330.9205
571792,272.1536
534951,2190.0311
534978,1098.6128
535079,995.3807
535117,1012.4685
532673,587.5736
538647,443.1889
599492,236.609
535257,1029.8407
535273,800.6561
535290,1111.4253
535311,471.6907
531511,465.7249
535389,588.0135
531111,345.4831
530964,201.161
533980,1659.2838
533998,1012.4776
534013,1612.1569
534021,1498.0206
534030,3255.7836
531260,360.2413
531197,601.8556
534056,1022.5508
534081,795.0966
534099,2950.2897
534129,1110.0575
531405,236.6437
551465,209.0918
534161,1088.4541
533955,3306.8563
534170,301.4461
534188,1427.9932
534200,1921.0755
534226,721.335
534242,902.1761
534277,1288.8758
530956,633.5871
531278,597.4748
534307,878.0741
534315,1489.5319
534323,1160.9692
528196,1027.8786
534340,1233.1244
534358,1330.5762
534366,839.68
534374,658.6883
534391,759.3109
534293,723.7256
534412,1202.2652
531391,391.6637
534439,1930.3549
534196,1782.7058
530930,379.4697
530972,1240.4617
534498,2543.9834
534501,1375.3932
534510,1856.4035
534528,1068.6465
534536,1178.7153
534561,1905.9354
534595,893.029
534609,1939.6961
534617,3810.7264
534633,1636.9362
537047,360.0255
599581,837.1041
537357,1128.5898
537454,3367.3441
537501,2834.1568
537624,1108.4186
537721,1066.1462
537781,943.0591
537837,969.4315
534889,354.9389
537861,630.0893
537993,616.9134
534714,561.5263
534722,1084.5769
534731,1579.8227
534749,1155.203
531570,2056.4831
534765,1248.1889
531987,160.7413
534790,1239.0169
534803,1440.99
531499,635.8475
534838,1776.3081
531871,512.721
531774,680.9441
531651,529.2345
534897,1061.1938
534901,1640.911
531898,532.9417
535001,1177.5875
531502,892.3267
531677,348.6251
535028,1000.2546
535036,1225.0053
529575,1488.4882
535044,2630.0439
534676,2496.1888
535052,2673.3167
535061,861.0742
531707,1109.9944
535168,1532.4637
535192,358.9053
531731,879.0346
535214,1171.3981
531561,461.6999
529583,637.4334
535265,1042.8874
531936,874.1935
535303,970.1351
535338,2841.6056
535397,1106.7364
535427,2701.3324
535443,6320.7309
535451,3550.5458
535478,925.6344
535486,709.6009
535508,694.2018
570788,263.0503
535559,1098.5846
535583,1110.7217
599514,1631.9785
535605,1504.1862
570991,166.229
535621,989.7299
535630,898.5489
570818,388.375
535656,593.8199
535672,2463.5932
571989,353.7617
535702,2430.6976
535729,1135.9773
570940,386.1539
535745,931.3656
571067,253.0321
535818,415.0197
599531,667.2421
535869,968.1926
565733,494.2324
599522,331.7072
565784,354.0015
535931,1315.0576
571849,312.1751
535966,1185.9149
566039,695.7895
529613,65.7453
536008,1613.3761
571075,552.5923
571172,210.4223
536067,876.4731
570974,227.1457
570826,1138.5047
536121,633.3006
566047,547.8168
571971,162.7868
572012,377.2842
536164,444.2376
536172,562.1482
536181,2408.695
536202,865.6245
536211,544.1861
565563,934.326
536270,1478.1253
565644,705.7082
535419,2890.3493
536334,292.2159
571156,502.5973
536351,604.3677
571121,426.0397
536377,337.1813
571806,366.2779
570893,764.8108
536407,448.1746
571032,877.3127
598241,304.4362
536431,560.1011
536440,467.5175
536458,333.5756
565580,553.7586
570753,227.1708
536491,915.6774
570923,318.5118
565652,207.8241
565636,191.7926
571148,534.7973
536580,237.5976
565661,166.239
529591,500.6842
536610,397.455
536636,497.462
557030,1663.7116
536652,1492.8869
536661,754.8467
565539,435.2816
536709,505.8566
536717,423.9542
565920,613.1808
536768,543.5958
570982,482.7371
570761,654.4947
536857,1447.4586
565725,290.2752
565628,448.4836
570842,442.3912
565571,773.6126
572021,592.5011
536938,939.113
571814,791.994
536989,778.3593
536997,449.6682
565750,857.1452
535516,993.3372
571946,670.0124
535567,562.4626
535711,1119.7563
535834,554.1494
535923,1333.5417
535974,506.5245
536024,462.0563
536041,4044.6476
599557,166.1462
570770,588.7322
536261,286.2522
536326,3432.0412
565822,267.561
571865,1102.2792
571997,351.0996
571938,491.0205
529605,1060.3933
599573,440.4411
571881,479.9201
536971,1480.5431
598291,314.0259
534820,639.6208
538345,557.862
534935,1555.3738
571784,711.8346
531863,323.1995
535087,2000.3329
535133,1517.0145
535141,372.3335
535222,1271.9202
535320,1286.7655
535354,760.0428
537039,994.5596
537055,802.0312
599671,460.4043
537110,679.3787
534854,379.2223
537152,715.3155
537179,1822.5637
599638,649.0811
599620,959.1229
537233,491.8686
537250,918.389
537268,531.4687
537276,465.6676
537314,865.3368
529630,574.0191
537331,1805.2338
537349,1468.9813
537373,807.2144
537390,813.2712
537411,2583.8237
537446,1902.5533
537462,1337.8473
537497,650.7275
534919,559.4975
599654,247.2895
537004,2058.8136
537616,561.2541
537667,174.5764
537756,2390.945
537764,1644.0882
534757,1138.4615
537853,924.274
537896,337.5798
534871,498.395
537942,743.8644
537985,303.8255
599697,428.156
534862,206.1959
503410,659.1079
537021,2664.1688
537080,1445.1711
537098,218.1415
537101,667.0631
537128,1464.7819
537161,382.4029
537217,403.0685
537225,2250.7348
534706,744.727
537292,1958.2982
551481,1187.6798
537306,159.2872
534943,559.3654
537403,513.2325
537438,999.2486
537489,1986.8776
537551,608.7859
537560,559.094
537578,1093.2157
537586,1220.5416
599662,488.4777
537632,691.763
537659,643.0865
537683,3368.0609
599590,847.8526
537772,947.9954
537799,446.7506
537802,1251.9324
537811,628.1638
537900,623.5484
536083,801.8505
537951,146.1972
599611,584.61
537977,604.4165
534471,1707.8999
529672,363.3172
564559,2089.5381
539953,847.8186
539988,396.2504
540013,1946.6195
540021,781.8968
564664,316.0512
564419,350.5674
540072,902.1081
513504,759.4173
540129,2568.5793
599298,558.209
540145,589.4131
540153,546.532
598381,403.6344
564508,599.421
598402,398.5357
540242,1207.3112
564605,538.0162
564257,413.3447
513580,876.4621
540315,4978.1982
564249,798.7098
540358,665.2073
540374,769.7923
540404,3662.7933
540439,1189.3876
513555,234.3585
529681,736.8436
540536,1412.5331
540587,625.1437
540625,515.569
564346,426.7045
513521,306.4814
598411,350.8925
540757,2413.246
599751,318.6332
564478,357.7371
564524,2008.6498
564222,296.3704
513571,290.708
540935,5144.8678
540943,1034.481
540960,555.937
598372,280.3354
541028,922.6198
541052,1425.6048
564214,814.7342
564486,438.4774
539911,3610.2079
564389,467.9344
541231,5301.291
541273,421.1114
564630,571.6546
541311,1093.4102
541320,754.9429
564583,422.0062
541371,647.6367
564273,435.9474
529664,445.9927
541427,1185.6459
598429,690.4488
541451,348.2943
598330,334.8026
541508,4111.0867
541516,1717.3987
541524,1041.9973
564362,886.2105
541567,1386.892
598437,582.5802
541583,486.8436
541613,956.0143
564320,383.8765
513512,851.6691
565423,211.6132
541672,1484.2873
565041,787.6178
541699,2904.9446
565181,904.9551
529711,1479.9194
541729,584.0144
541737,1912.7191
565202,683.2435
541761,1841.9116
541770,822.9967
565334,367.6636
541818,1014.5629
565270,315.6979
541834,3759.3649
565440,435.4315
565288,1042.0142
541877,1256.497
565199,515.3508
541893,1535.9959
541907,858.0503
565385,719.3638
565351,445.7526
565369,803.4683
541940,347.1427
598500,866.2336
541966,742.5217
541974,635.7891
541982,642.1965
542008,381.9822
542016,893.7923
542032,874.9659
542041,2978.2951
565377,327.9113
542067,1440.798
542075,717.8321
565466,870.4717
542105,1419.8512
542113,1404.5319
542121,1321.1861
542130,1063.7133
598585,717.9843
542164,1332.1016
542181,629.3911
542199,1088.6632
542202,1603.6821
542211,749.6199
544248,3947.0608
542229,699.9602
542237,455.2547
598577,208.7344
542253,218.9494
565261,663.8547
542270,1057.75
542288,1464.2432
599760,983.1965
541656,1850.1391
598526,2220.8567
542326,2166.9301
542334,608.6276
565504,486.8842
542351,2923.1585
542369,439.5563
542377,1409.5362
542385,1504.6823
542415,2763.5234
565407,168.4934
542431,622.5827
542458,883.296
542466,1585.4183
542474,763.2398
598496,1162.5415
565326,295.9281
542504,950.7762
542512,890.0049
565512,530.4415
542563,1353.1289
529699,835.0604
565130,417.4824
542598,600.8986
542601,378.9681
542610,1514.577
598518,865.4965
538043,556.6876
564869,307.5479
533254,1314.4041
538141,442.9413
538167,384.8266
564885,367.5316
564915,273.5275
538248,543.0647
533378,1291.7356
538281,624.2239
538299,1737.7273
513628,284.0808
564761,513.4394
533416,1769.8285
538370,409.7711
533432,718.0827
564991,401.5075
538418,485.5804
538426,1040.4603
538451,442.6202
538485,536.5046
538493,832.1341
598267,344.2294
538523,632.912
533548,498.0647
564907,317.7292
533564,1193.5698
538582,1815.1492
571679,581.3946
529656,384.7248
538612,470.1185
599221,519.8765
564788,257.2343
538698,508.8441
538728,2581.1203
538752,343.748
538787,409.7685
538809,1159.6237
538825,578.2129
533718,2444.372
538833,992.4622
538841,120.3834
538850,257.7557
571644,519.0937
538892,819.3328
599719,278.4826
538981,1562.0145
533874,729.8862
539031,443.7888
564796,656.3167
533904,378.8066
539091,650.4659
540218,2513.5342
540391,1291.086
540447,2565.8549
598461,872.2239
540498,1876.7938
540552,3679.9168
540579,720.1447
540749,1550.8036
540790,1562.5291
540820,1644.3715
540846,2460.7138
598470,835.902
541044,3901.9857
541087,1320.4135
541133,1403.8244
513547,308.9906
598488,1250.3934
541281,3646.5956
530573,6413.624
541397,2162.9211
541419,498.9838
541591,2391.591
532088,570.4937
535125,1221.0227
532207,2120.4371
512991,520.4658
532291,652.1132
513075,988.6604
532321,436.0828
535150,370.7679
532339,806.8652
532363,170.107
532398,870.772
532401,710.0024
532410,704.9549
532428,287.737
513032,327.6314
532461,1587.3931
532479,682.6227
532487,423.3989
535109,362.8019
571512,148.654
532517,195.2286
532533,550.6786
571601,609.7578
571555,239.7621
535095,216.3382
532657,624.7104
571521,344.1707
532665,565.4895
564192,552.6353
564125,402.2483
532754,419.8994
564087,470.3153
532762,1185.068
532771,379.5723
532797,612.2511
532801,677.5087
532819,3511.6386
532835,958.844
599441,255.8987
551457,268.4346
532916,689.8743
532967,485.1536
532177,355.7709
533009,580.6
533041,1810.1965
533068,1700.5142
571431,349.9831
571423,161.4243
533114,1606.8
533122,459.4258
599425,467.1008
533157,1206.9453
532568,1010.9743
530743,577.6031
532380,463.0034
532096,309.6757
532690,392.366
529486,3941.3394
532746,407.6915
529648,1722.4118
532843,357.545
532932,250.5381
529737,648.0141
529770,419.3725
529788,239.7368
529851,730.3178
531031,1135.151
529907,711.3602
533084,472.7321
529931,1276.6371
530000,1366.2972
530026,345.6646
530069,739.2926
530093,2387.782
530107,1711.1965
530174,244.7493
530191,921.1408
530212,4845.2225
599395,335.6906
533076,391.6533
530476,1979.4343
530514,830.2559
530531,802.5046
530549,448.7441
532941,330.7858
532231,295.2608
532436,602.6846
599387,1087.7049
599361,501.5628
530719,441.7269
532509,610.558
530751,1002.9012
530778,999.1262
532541,722.329
530816,2890.5101
530867,1227.3836
530883,4142.4453
530913,1093.0378
532266,555.759
531022,677.1489
529532,1258.7259
529702,1740.0477
529842,2980.6686
532134,725.6135
530158,1563.0058
530166,2572.2285
530301,2869.23
530344,2537.1335
532550,954.2547
530611,1120.5773
530701,819.987
530891,1553.9954
530905,3642.1586
530948,2307.667
531049,2239.2397
550817,3433.4672
598895,581.3962
550850,4359.5712
537063,470.4091
530018,559.7866
529966,838.831
510068,654.5884
551597,382.2847
536369,341.1686
529982,621.4556
536903,232.4341
551180,1961.135
536601,932.8067
598950,258.6611
560197,322.8183
551350,1268.5439
536822,570.2076
536466,508.151
551473,1581.3447
551627,1060.2253
551716,3052.6033
551830,956.6366
536598,1024.082
551937,537.6179
536890,662.4286
551988,685.1987
535826,103.0858
544272,196.7167
535681,273.5655
544299,995.7562
535401,957.8689
551490,518.2139
536059,1012.4704
535541,902.1139
544329,955.9223
544256,5570.8539
535249,340.4078
544361,1952.2798
535206,154.7086
535664,182.3037
544400,585.7259
535958,714.7261
544426,4608.194
535788,326.1805
544442,1677.0521
544451,1313.4238
535575,521.5338
598593,217.6373
535851,504.1735
598607,336.2922
544485,9110.6692
544493,1095.1544
544523,3097.2277
535460,119.4866
544558,882.3237
535753,534.2765
535613,238.3175
535907,519.2683
544612,1207.5942
535761,628.5466
544663,2896.7392
535877,1029.4575
529729,394.2942
544736,3455.0957
544744,2118.67
535800,685.2994
544761,781.4875
544779,9355.0292
544795,582.2217
535940,863.0058
535842,355.6409
535281,412.4183
535371,668.8985
544825,237.621
535435,1088.2405
535648,586.2715
544892,2351.1815
535991,1403.403
535176,418.5271
535346,510.4995
544965,908.9093
544973,382.6197
544981,319.3854
545007,1528.1993
545015,2025.7919
545066,600.3619
545074,508.2451
545082,1006.8052
536032,63.9021
545091,466.2533
545121,810.8447
545139,1461.2314
535494,303.4926
545228,370.7345
535737,123.0461
535893,761.6057
535915,576.2401
545261,1572.8189
535796,152.5462
545317,1657.2114
536016,450.1569
599778,208.0908
545341,1420.5465
535591,964.1774
545368,1183.7822
536253,3082.4133
545422,16545.3547
545431,4616.5681
545457,5047.1802
545392,2216.051
545473,2043.1221
545481,5491.0262
545490,1556.0627
545511,12717.9638
545520,3195.8282
536229,324.1347
545546,2795.1622
545554,4991.9705
545571,3812.1194
545597,1948.0396
545601,4196.5543
536296,2711.6725
545627,1548.8249
598623,850.5498
513661,994.0137
500194,1911.1344
545716,7784.0004
545724,4003.5391
545732,629.0244
545767,2481.087
536245,671.6702
545813,2681.2312
545830,2771.476
536300,479.5493
545848,6974.7027
545864,881.7988
545872,948.8672
562726,479.7584
546020,509.0197
546038,2302.45
546054,2576.2397
509116,680.193
546097,4927.8121
546127,6695.8654
546143,3774.2651
562416,338.4017
546305,509.714
598658,439.5612
562785,416.8815
562319,583.8744
546445,1163.6322
508357,650.7446
507717,1811.7927
546917,3346.2034
547166,4580.7114
547204,2477.1711
547263,4496.4011
562327,694.9055
547441,3281.2061
562424,447.611
562548,781.2269
561053,694.5098
561711,1988.8965
562742,588.4672
507733,951.205
546101,4578.1884
561703,2495.3336
546151,1269.8092
529753,272.4455
562467,529.8643
562602,684.0877
507610,513.4284
560987,411.1822
562696,269.9935
546291,2990.9592
546364,1484.5144
546381,1535.603
561061,362.9734
546402,860.2449
546500,2776.1932
562769,455.3884
545881,7428.6047
562491,874.0988
598631,473.1501
546542,4582.9154
509108,591.4142
546615,4956.2618
546623,1041.1405
546666,2375.3564
546798,8182.519
562734,723.3888
546801,1010.3166
562475,907.9123
561070,1014.8858
509078,1088.6552
507628,983.6722
546968,3337.499
562459,413.1203
546992,1346.9469
561088,711.1896
507784,1167.8992
547085,1272.37
508004,546.3237
560995,394.5714
547212,6924.6714
547221,3629.3849
547239,3060.8117
508152,1236.2373
561029,759.3158
507644,421.8713
562599,1356.527
561037,382.1771
507652,577.8263
598640,621.593
562629,586.8895
507695,361.2748
547468,820.0486
529761,712.9054
545406,5709.607
545414,1611.9901
545449,1742.9054
545465,8996.672
545503,1358.5519
545562,4084.9556
545619,6130.7761
545643,1336.2287
545660,1381.842
545694,8122.7979
545775,4290.4186
545805,1247.4175
551538,837.5781
545821,1323.5658
536237,290.3119
549266,3642.6608
598780,636.515
549291,1362.9924
549304,506.1769
549410,849.1626
549428,1340.8541
549452,3031.6809
549479,1371.5619
562084,1131.9931
549509,3280.6651
549517,5046.4274
509752,335.2011
549541,1094.6721
598801,1574.5342
549576,4228.997
529877,437.6018
598828,529.1996
561517,444.207
549797,978.0875
549843,2852.7904
529885,448.7444
549975,451.7178
598852,823.7632
550035,299.9935
550043,592.3341
550060,1215.4304
549258,3671.3307
562122,1000.8589
549321,950.5915
549339,1028.819
549347,3610.4916
549363,2122.199
562301,851.8801
549380,2326.7565
549398,705.5251
561525,577.3337
